PlayerID,MLBAMID,Player,Age,B,Pos,Tm,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,R$,5x5,12$,15$,BB%,Ct%,Eye,PX,xPX,HCTX,SPD,rSPD,G%,L%,F%,XBA,BA,RCG,RAR,BPV,PAvsRH,PAvsLH,AVGvsRH,AVGvsLH,OBPvsRH,OBPvsLH,SLGvsRH,SLGvsLH,OPSvsRH,OPSvsLH
4041,493316,"Cespedes, Yoenis ",30,R,o78,NYM,479,72,134,25,1,31,86,51,108,3,1,280,354,530,884,19,19,14,16,9,77,0.47,145,137,123,73,57,37,21,41,280,45,6.5,25.9,68,438,105,266,341,329,457,510,624,839,1081
3237,458085,"Coghlan, Chris ",31,L,o7945,CHC,261,35,49,12,2,6,30,35,73,2,1,188,290,318,608,-7,-5,-13,-9,12,72,0.48,87,94,85,80,57,48,21,31,237,50,2.8,-13.5,7,270,30,195,120,293,267,335,160,627,427
4982,624424,"Conforto, Michael ",23,L,o7,NYM,304,38,67,21,1,12,42,36,89,2,1,220,310,414,725,-1,0,-8,-4,10,71,0.4,134,153,115,67,48,36,19,45,242,45,4.1,-5.2,33,295,53,242,104,336,170,469,125,804,295
5162,575929,"Contreras, Willson ",24,R,2o7,CHC,252,33,71,14,1,12,35,26,67,2,2,282,357,488,845,6,5,-4,1,9,73,0.39,130,105,96,102,57,54,18,28,266,30,5.9,10.8,49,204,79,270,311,358,354,483,500,841,854
3755,446359,"Cozart, Zack ",30,R,6,CIN,464,67,117,28,2,16,50,37,84,4,1,252,308,425,732,7,9,1,4,7,82,0.44,102,106,104,90,76,39,21,40,266,50,4.5,-4.6,53,391,117,260,226,315,284,416,453,731,737
3674,543063,"Crawford, Brandon ",29,L,6,SF,553,67,152,28,11,12,84,57,115,7,0,275,342,430,772,15,15,8,11,9,79,0.5,92,114,113,117,122,43,21,36,257,40,5.3,10.2,46,427,196,274,276,347,332,454,381,801,713
580,408307,"Crawford, Carl ",34,L,7o,FAN,81,8,15,2,1,0,6,4,11,0,1,185,230,235,464,-6,-7,-18,-12,5,86,0.36,29,14,40,102,6,59,24,17,275,55,1.5,-7.6,11,75,12,203,83,253,83,261,83,514,167
4100,518586,"Culberson, Charlie ",27,R,64,LA,67,6,20,3,0,1,7,1,13,1,0,299,309,388,697,-2,-3,-15,-9,1,81,0.08,59,70,91,106,113,45,21,34,238,25,4.4,-0.7,6,19,49,211,333,211,347,263,438,474,784
3839,488818,"D Arnaud, Chase ",29,R,65o4,ATL,233,24,57,14,2,1,21,23,50,9,3,245,317,335,652,1,1,-10,-5,9,79,0.46,65,71,84,118,111,42,23,35,241,45,3.6,-7.4,21,169,93,242,250,320,312,315,369,635,681
3967,518595,"D Arnaud, Travis ",27,R,2,NYM,251,27,62,7,0,4,15,19,50,0,0,247,307,323,629,-3,-3,-13,-7,7,80,0.38,47,85,105,89,0,52,17,31,217,30,3.3,-8.3,0,212,64,264,190,319,266,363,190,682,455
5333,621311,"Dahl, David ",22,L,o7,COL,222,42,70,12,4,7,24,15,59,5,0,315,359,500,859,8,8,-2,2,6,73,0.25,116,100,97,152,164,45,21,33,259,20,6.8,13.2,47,186,51,316,313,360,353,534,375,895,728
3374,477195,"Davis, Ike ",29,L,3,FAA,14,2,3,0,0,0,1,1,5,0,0,214,267,214,481,-4,-6,0,0,7,64,0.2,0,87,87,99,0,56,22,22,175,15,1.9,-1.3,-97,14,1,231,0,286,0,231,0,516,0
2558,457477,"De Aza, Alejandro ",32,L,o789,NYM,234,31,48,9,0,6,25,26,67,4,3,205,297,321,618,-4,-3,-12,-7,10,71,0.39,78,157,127,79,55,34,28,38,231,40,2.8,-13.1,-6,219,48,207,195,294,313,332,268,625,581
3149,474443,"De Jesus, Ivan ",29,R,6453,CIN,221,21,56,10,0,1,20,17,51,3,1,253,311,312,623,-0,-1,-12,-7,7,77,0.33,46,60,72,69,56,48,27,25,246,35,3.3,-6.6,-18,193,50,270,186,314,300,331,233,646,533
4056,544925,"Den Dekker, Matthew ",28,L,o7,FAN,34,3,6,1,0,1,4,4,10,1,0,176,282,294,576,-4,-6,-17,-11,10,71,0.4,77,80,96,102,115,50,8,42,188,45,2.5,-2.2,-2,35,4,200,0,314,0,333,0,648,0
3622,518614,"Descalso, Daniel W",29,L,634,COL,250,38,66,12,2,8,38,34,56,3,0,264,349,424,773,4,4,-5,-1,12,78,0.61,96,99,92,89,93,44,24,32,264,50,5.3,4.6,40,238,51,271,233,357,314,425,419,782,732
5124,649557,"Diaz, Aledmys ",25,R,6,STL,404,71,121,28,3,17,65,41,60,4,4,300,369,510,879,17,17,10,12,9,85,0.68,118,108,109,139,79,46,16,39,284,55,6.6,25.4,96,330,130,317,256,387,323,554,402,941,725
4837,553869,"Diaz, Elias ",25,R,2,PIT,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75,0,0,-24,0,93,0,33,33,33,0,35,0,-0.6,-69,4,0,0,0,0,0,0,0,0,0
4998,543105,"Dickerson, Alex ",26,L,o7,SD,253,39,65,16,2,10,37,26,44,5,1,257,333,455,788,5,5,-4,0,9,83,0.59,114,105,114,93,87,37,22,40,278,55,5.1,5,70,219,66,254,267,333,333,477,383,810,717
4269,518618,"Dietrich, Derek ",26,L,4o753,MIA,351,39,98,20,5,7,42,32,84,1,0,279,374,425,798,5,5,-4,1,8,76,0.38,93,99,86,108,109,40,22,38,245,30,5.1,0.2,29,340,72,297,200,397,264,455,292,852,556
4929,594694,"Difo, Wilmer ",24,R,4,WAS,58,14,16,3,0,1,7,8,12,3,0,276,364,379,743,-1,-2,-14,-8,12,79,0.67,69,52,91,101,116,59,20,22,265,45,5.2,0.6,29,46,20,282,263,391,300,333,474,725,774
2362,452220,"Drew, Stephen ",33,L,456,WAS,143,24,38,11,1,8,21,16,31,0,1,266,339,524,864,1,-0,-10,-5,10,78,0.52,155,187,132,94,3,32,22,47,284,50,6,6.4,87,148,17,276,188,351,235,559,250,910,485
4867,592273,"Drury, Brandon ",23,R,o7954,ARI,461,59,130,31,1,16,53,31,100,1,1,282,329,458,786,12,12,4,7,6,78,0.31,111,97,105,99,51,50,20,30,271,35,5.3,6.3,46,358,141,283,280,332,319,447,485,779,804
3588,446263,"Duda, Lucas ",30,L,3,NYM,153,20,35,7,0,7,23,15,36,0,0,229,302,412,714,-2,-2,-12,-7,9,76,0.42,110,110,102,61,0,37,24,39,259,55,4.1,-4.8,32,140,32,252,133,329,188,447,267,776,454
4671,594807,"Duvall, Adam ",27,R,o7,CIN,552,85,133,31,6,33,103,41,164,6,5,241,297,498,795,15,16,13,14,7,70,0.25,163,155,111,110,72,34,19,47,256,40,4.8,2.3,60,472,135,242,238,292,311,502,484,795,795
3082,454560,"Ellis, A.J. ",35,R,2,PHI,171,11,37,8,0,2,22,19,31,2,1,216,301,298,599,-4,-5,-15,-10,10,82,0.61,55,92,102,72,53,41,22,36,238,60,2.8,-8.2,15,121,75,212,224,303,297,317,269,620,566
4175,518653,"Elmore, Jake ",29,R,3o7,MIL,78,7,17,2,0,0,4,17,17,2,3,218,371,244,615,-4,-5,-17,-11,17,78,1,22,10,55,93,52,61,17,22,211,55,2.6,-5,-4,40,59,161,255,316,407,161,298,477,705
3570,457787,"Espinosa, Danny ",29,B,64,WAS,516,66,108,15,0,24,72,54,174,9,2,209,306,378,684,4,6,1,4,9,66,0.31,111,130,90,75,68,39,18,43,214,30,3.5,-22.1,-3,473,128,212,202,322,250,353,462,675,712
2255,444843,"Ethier, Andre ",34,L,o97,LA,24,2,5,1,0,1,2,2,6,0,0,208,269,375,644,-4,-6,-17,-11,8,75,0.33,102,114,68,86,0,39,11,50,201,35,3.3,-0.8,25,25,1,217,0,280,0,391,0,671,0
4847,605227,"Featherston, Taylor ",26,R,546,PHI,26,2,3,1,0,0,1,2,11,2,0,115,179,154,332,-5,-6,-18,-12,7,58,0.18,45,92,47,97,146,33,13,53,132,25,1,-3.3,-87,14,14,143,83,143,214,214,83,357,298
3876,543148,"Federowicz, Tim ",28,R,2,CHC,31,3,6,2,0,0,3,1,12,0,0,194,212,258,470,-5,-6,-18,-12,3,61,0.08,70,163,100,72,0,20,20,60,161,15,1.8,-2.5,-68,21,12,50,455,48,500,100,545,148,1045
4630,502676,"Figueroa, Cole ",29,L,4,MIA,26,0,4,0,0,0,3,1,2,1,0,154,185,154,339,-5,-6,-18,-12,4,92,0.5,0,80,78,90,108,29,29,42,244,70,1,-3.2,6,21,6,150,167,190,167,150,167,340,333
4935,570717,"Flores, Ramon ",24,L,o987,MIL,249,18,51,8,0,2,19,31,58,3,0,205,294,261,555,-6,-6,-16,-11,11,77,0.53,40,58,82,71,74,55,17,28,213,45,2.5,-16.8,-15,221,68,198,226,300,273,273,226,573,499
4211,527038,"Flores, Wilmer ",24,R,6543,NYM,307,38,82,14,0,16,49,23,48,1,1,267,319,469,788,7,6,-2,2,7,84,0.48,108,107,93,96,51,33,22,45,274,50,5.1,0.4,68,228,107,232,340,289,383,353,710,642,1093
3933,465753,"Florimon Jr., Pedro A",29,B,6,PIT,24,4,5,1,1,0,4,1,12,0,1,208,240,333,573,-4,-6,-17,-11,4,50,0.08,111,100,51,125,31,58,8,33,169,15,2,-1.9,-63,20,5,211,200,250,200,316,400,566,600
3333,452095,"Flowers, Tyler ",30,R,2,ATL,281,27,76,18,0,8,41,29,91,0,0,270,357,420,777,4,3,-7,-2,9,68,0.32,113,153,120,79,0,42,19,39,217,15,5,4.5,4,214,111,277,258,350,369,431,398,781,767
3078,451594,"Fowler, Dexter D",30,B,8o,CHC,456,84,126,25,7,13,48,79,124,13,4,276,393,447,840,15,16,9,12,14,73,0.64,110,100,90,143,125,41,24,36,250,40,6.1,18,53,407,144,270,293,392,396,435,480,827,876
4491,596748,"Franco, Maikel ",23,R,5,PHI,581,67,148,23,1,25,88,40,106,1,1,255,306,427,733,11,12,7,9,6,82,0.38,95,91,102,76,39,44,20,35,263,45,4.4,-9.8,40,493,137,246,286,298,336,400,524,698,860
1168,425796,"Francoeur, Jeff ",32,R,o97,MIA,307,33,78,15,1,7,34,20,90,2,2,254,297,378,675,2,1,-8,-3,6,71,0.22,87,89,84,104,57,49,19,33,225,25,3.8,-8.1,-1,187,144,241,271,285,313,351,414,636,726
5297,624428,"Frazier, Adam ",24,L,o749,PIT,146,21,44,8,1,2,11,12,26,4,1,301,356,411,767,2,1,-10,-5,8,82,0.46,70,93,105,132,120,44,33,23,291,45,5.4,3,41,134,26,279,417,343,423,410,417,753,840
3393,518692,"Freeman, Freddie ",26,L,3,ATL,589,102,178,43,6,34,91,89,171,6,1,302,400,569,968,29,29,25,25,13,71,0.52,173,177,125,110,99,30,29,41,279,35,8.2,46.4,83,467,226,303,301,405,389,596,513,1001,902
3162,501896,"Freese, David ",33,R,53,PIT,437,63,118,23,0,13,55,45,142,0,0,270,352,412,764,7,8,1,5,9,68,0.32,104,92,97,98,0,61,19,20,232,20,4.9,-1.3,3,387,105,252,337,333,419,377,543,710,963
3845,518700,"Fryer, Eric ",30,R,2,PIT,116,19,31,4,1,0,13,13,25,0,3,267,336,319,655,-3,-3,-14,-8,10,78,0.52,37,19,44,131,10,51,24,25,240,40,3.4,-2.4,4,107,26,253,333,324,385,316,333,640,718
4449,571681,"Fuentes, Reymond ",25,L,o,FAA,41,2,13,1,0,0,5,3,8,0,2,317,364,341,705,-3,-5,-16,-10,7,80,0.38,20,-9,20,139,19,53,28,19,247,25,3.8,-0.9,-4,44,0,317,0,364,0,341,0,705,0
3954,520471,"Galvis, Freddy ",26,B,6,PHI,584,61,141,26,3,20,67,25,136,17,6,241,274,399,673,13,13,6,9,4,77,0.18,95,80,83,98,92,40,23,36,253,40,3.6,-17.6,22,475,149,250,215,290,224,425,319,715,544
4928,611177,"Garcia, Adonis ",31,R,5,ATL,532,65,145,29,0,14,65,24,93,3,2,273,311,406,717,11,12,5,8,4,83,0.26,81,63,100,66,42,52,21,27,271,40,4.3,-9.1,25,410,152,262,302,293,362,407,403,700,765
4615,594824,"Garcia, Greg ",26,L,564,STL,214,33,59,11,0,3,17,38,50,1,1,276,393,369,762,0,1,-9,-4,15,77,0.76,66,67,74,103,54,50,25,24,253,45,5,0.5,22,210,47,287,233,414,298,392,279,806,577
5010,572863,"Garneau, Dustin ",28,R,2,COL,68,7,16,6,0,1,6,6,22,0,0,235,293,368,661,-3,-5,-17,-11,8,68,0.27,113,138,93,95,0,30,22,48,221,25,3.6,-0.4,7,45,30,238,231,289,300,405,308,694,608
4233,571697,"Gennett, Scooter ",26,L,4,MIL,498,58,131,30,1,14,56,38,114,8,1,263,317,412,728,10,11,3,6,7,77,0.33,97,90,91,89,86,45,21,35,255,35,4.5,-4.5,29,433,108,264,260,313,333,420,375,733,708
3337,502226,"Gentry, Craig ",32,R,o7,FAA,34,2,5,1,0,0,2,3,6,0,0,147,237,176,413,-6,-7,-19,-12,8,82,0.5,24,29,23,96,0,64,11,25,186,55,1.1,-3.7,-4,8,31,125,154,125,267,125,192,250,459
