#goldschmidthappens
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Brothers K,"Kelvin Herrera RP | WAS ",2,2.75,0.96,72.0,86,12,217
Brothers K,Jesse Chavez SP | CHC ,1,4.43,1.33,67.0,63,0,536
Brothers K,German Marquez SP | COL ,1,5.23,1.65,20.7,15,0,786
Brothers K,Pedro Strop RP | CHC ,1,2.85,0.89,47.3,60,0,345
Brothers K,James Paxton SP | SEA ,11,3.79,1.31,121.0,117,0,302
Brothers K,Felipe Vazquez RP | PIT ,10,4.09,1.29,77.0,92,1,433
Brothers K,"Brent Suter SP | MIL ",1,3.32,1.38,21.7,15,0,598
Brothers K,Marco Gonzales SP | SEA ,1,0.00,0.00,0.0,0,0,836
Brothers K,Corey Knebel RP | MIL,1,4.68,1.47,32.7,38,2,609
Brothers K,Yoshihisa Hirano RP | ARI ,2,0.00,0.00,0.0,0,0,9999
,TOTALS,45,4.06,1.27,530.3,552,15,
Game of Throws
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Game of Throws,Trea Turner SS | WAS ,13,40,53,307,43,33,0.342,73
Game of Throws,Wilson Ramos C | PHI ,22,80,58,482,11,0,0.307,93
Game of Throws,Eric Hosmer 1B | SD ,25,104,80,605,20,5,0.266,55
Game of Throws,Justin Upton LF | LAA ,31,87,81,570,10,9,0.246,63
Game of Throws,"Gregory Polanco RF | PIT ",22,86,79,527,15,17,0.258,60
Game of Throws,Joey Votto 1B | CIN,29,97,101,556,33,8,0.326,12
Game of Throws,Scooter Gennett 2B | CIN ,14,56,58,498,13,8,0.263,159
Game of Throws,Christian Yelich CF | MIL ,21,98,78,578,28,9,0.298,47
Game of Throws,Austin Hedges C | SD ,0,1,2,24,3,0,0.125,1004
Game of Throws,Nomar Mazara RF | TEX ,20,64,59,516,15,0,0.266,150
Game of Throws,Cody Bellinger 1B | LAD ,0,0,0,0,10,0,0.000,9999
Game of Throws,Ben Zobrist 2B | CHC ,18,76,94,523,2,6,0.272,75
Game of Throws,Carlos Correa SS | HOU ,20,96,76,577,31,13,0.274,56
Game of Throws,Stephen Piscotty RF | OAK ,22,85,86,582,1,7,0.273,67
Game of Throws,David Wright 3B | NYM ,7,14,18,137,1,3,0.226,469
,TOTALS,264,984,923,6482,236,118,0.278,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Game of Throws,Jack Flaherty SP | STL ,1,0.00,0.00,0.0,0,0,9999
Game of Throws,Arodys Vizcaino RP | ATL,7,4.42,1.63,38.7,50,10,490
Game of Throws,Seranthony Dominguez SP | PHI ,6,0.00,0.00,0.0,0,0,9999
Game of Throws,Aroldis Chapman RP | NYY ,19,1.55,0.86,58.0,90,36,89
Game of Throws,Jon Gray SP | COL ,2,4.61,1.26,168.0,185,0,201
Game of Throws,Chris Sale SP | BOS ,26,3.33,1.04,226.7,233,0,32
Game of Throws,Stephen Strasburg SP | WAS ,18,3.60,1.10,147.7,183,0,88
Game of Throws,Edwin Diaz RP | SEA ,10,2.79,1.16,51.7,88,18,249
Game of Throws,Nathan Eovaldi SP | BOS ,1,4.76,1.31,124.7,97,0,333
Game of Throws,Nick Pivetta SP | PHI ,1,0.00,0.00,0.0,0,0,9999
,TOTALS,91,3.75,1.16,815.3,926,64,
JUDGEment Day
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
JUDGEment Day,Isiah Kiner-Falefa 2B | TEX,0,0,0,0,2,0,0.000,9999
JUDGEment Day,Colin Moran 1B | PIT ,0,2,1,23,3,0,0.130,1000
JUDGEment Day,Michael Taylor CF | WAS,7,16,28,221,15,14,0.231,329
JUDGEment Day,Nolan Arenado 3B | COL ,41,133,116,618,41,2,0.294,4
JUDGEment Day,Aaron Judge RF | NYY ,4,10,10,84,10,0,0.179,641
JUDGEment Day,Steve Pearce LF | BOS ,13,35,35,264,11,0,0.288,257
JUDGEment Day,Josh Harrison 2B | PIT,4,59,57,487,2,19,0.283,136
JUDGEment Day,Cesar Hernandez 2B | PHI ,6,39,67,547,1,17,0.294,132
JUDGEment Day,Jackie Bradley CF | BOS ,26,87,94,558,7,9,0.267,51
JUDGEment Day,Odubel Herrera CF | PHI ,15,49,87,583,12,25,0.286,66
JUDGEment Day,Freddy Galvis SS | SD,20,67,61,584,3,17,0.241,120
JUDGEment Day,Kris Bryant 3B | CHC ,39,102,121,603,38,8,0.292,6
JUDGEment Day,Miguel Andujar 3B | NYY ,0,0,0,0,4,0,0.000,9999
JUDGEment Day,Jonathan Schoop 2B | MIL,25,82,82,615,6,1,0.267,78
JUDGEment Day,Chris Iannetta C | COL ,7,24,23,295,3,0,0.210,511
,TOTALS,207,705,782,5482,158,112,0.271,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
JUDGEment Day,Dereck Rodriguez SP | SF ,3,0.00,0.00,0.0,0,0,9999
JUDGEment Day,Gerrit Cole SP | HOU ,14,3.88,1.44,116.0,98,0,349
JUDGEment Day,Masahiro Tanaka SP | NYY ,16,3.06,1.08,199.7,165,0,74
JUDGEment Day,Zach Britton RP | NYY,3,0.54,0.84,67.0,74,47,65
JUDGEment Day,"Garrett Richards SP | LAA ",7,2.34,1.33,34.7,34,0,532
JUDGEment Day,Carlos Martinez SP | STL ,16,3.04,1.22,195.3,174,0,86
JUDGEment Day,"Dinelson Lamet SP | SD ",6,0.00,0.00,0.0,0,0,9999
JUDGEment Day,Chris Devenski RP | HOU ,1,2.16,0.91,108.3,104,1,172
JUDGEment Day,Jameson Taillon SP | PIT ,5,3.38,1.12,104.0,85,0,282
JUDGEment Day,Collin McHugh SP | HOU ,9,4.34,1.41,184.7,177,0,210
JUDGEment Day,Tony Watson RP | SF,5,3.06,1.06,67.7,58,15,263
JUDGEment Day,Roberto Osuna RP | HOU ,8,2.68,0.93,74.0,82,36,107
,TOTALS,93,3.10,1.16,1151.3,1051,99,
Junk Yard Dog
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Junk Yard Dog,Aramis Garcia C | SF ,0,0,0,0,5,0,0.000,9999
Junk Yard Dog,Nelson Cruz DH | SEA,43,105,96,589,20,2,0.287,13
Junk Yard Dog,Yuli Gurriel 1B | HOU ,3,15,13,130,6,1,0.262,538
Junk Yard Dog,J.D. Martinez RF | BOS ,22,68,69,460,10,1,0.306,91
Junk Yard Dog,Willson Contreras C | CHC ,12,35,33,252,22,2,0.282,265
